,album,track_number,id,name,uri,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
117,Blow Up Your Video,1,0h3A3hdDq762DzIOKUoF21,Heatseeker,spotify:track:0h3A3hdDq762DzIOKUoF21,230400,0.00221,0.372,0.873,0.137,0.0638,-5.049,0.0426,159.99,0.481,57
118,Blow Up Your Video,2,0u8J52fqQhQXKvAC23ICvO,That's the Way I Wanna Rock 'N' Roll,spotify:track:0u8J52fqQhQXKvAC23ICvO,225026,0.0484,0.395,0.951,0.00333,0.315,-5.469,0.107,157.613,0.514,43
119,Blow Up Your Video,3,3C2qc99Ay92Iv43DknVttB,Meanstreak,spotify:track:3C2qc99Ay92Iv43DknVttB,248426,0.211,0.602,0.82,0.00281,0.362,-4.036,0.0394,97.959,0.577,33
120,Blow Up Your Video,4,1a6B2hBwnJoqETESO6NDj3,Go Zone,spotify:track:1a6B2hBwnJoqETESO6NDj3,266440,0.00338,0.499,0.764,0.011,0.226,-5.411,0.036,100.494,0.363,33
121,Blow Up Your Video,5,6MZc25P5QQDCYwUpYZ4gBA,Kissin' Dynamite,spotify:track:6MZc25P5QQDCYwUpYZ4gBA,238426,0.00136,0.468,0.843,0.0334,0.0696,-5.982,0.0409,122.324,0.298,36
122,Blow Up Your Video,6,3wYDl8yi2F90kJdSUkyhJG,Nick of Time,spotify:track:3wYDl8yi2F90kJdSUkyhJG,256399,0.0349,0.264,0.959,0.0112,0.146,-4.521,0.176,171.981,0.234,33
123,Blow Up Your Video,7,05spmNSk1TB5CFAEbAvLuu,Some Sin for Nuthin',spotify:track:05spmNSk1TB5CFAEbAvLuu,251386,0.0195,0.464,0.926,0.249,0.263,-5.139,0.0481,106.716,0.533,31
124,Blow Up Your Video,8,6D1r9yXvmn0zcw5vZuPSw5,Ruff Stuff,spotify:track:6D1r9yXvmn0zcw5vZuPSw5,268720,0.0298,0.466,0.93,0.00911,0.362,-4.889,0.0668,126.659,0.534,33
125,Blow Up Your Video,9,4UBIdb16eo8bIykBM6JHE2,Two's Up,spotify:track:4UBIdb16eo8bIykBM6JHE2,319973,0.00201,0.455,0.938,0.0274,0.0496,-5.104,0.0608,122.595,0.383,34
126,Blow Up Your Video,10,3TzodHWz58jKxePzBDqHf0,This Means War,spotify:track:3TzodHWz58jKxePzBDqHf0,272280,0.0142,0.432,0.988,0.0078,0.0841,-4.442,0.0997,111.277,0.197,34
127,Who Made Who,1,6rvldt6EoZwzogApECUCwd,Who Made Who,spotify:track:6rvldt6EoZwzogApECUCwd,207146,0.000286,0.514,0.825,0.293,0.607,-5.136,0.0486,125.273,0.655,62
128,Who Made Who,2,6yl8Es1tCYD9WdSkeVLFw4,You Shook Me All Night Long,spotify:track:6yl8Es1tCYD9WdSkeVLFw4,210880,0.00224,0.529,0.768,0.000685,0.297,-5.51,0.0566,127.316,0.769,69
129,Who Made Who,3,1nUk7iNwJ26jIhNaEHt910,D.T.,spotify:track:1nUk7iNwJ26jIhNaEHt910,173653,0.0016,0.424,0.6,0.93,0.128,-8.259,0.0693,98.761,0.443,40
130,Who Made Who,4,3yGEXeeMSZtXoEvfcLFF1m,Sink the Pink,spotify:track:3yGEXeeMSZtXoEvfcLFF1m,253400,0.00126,0.465,0.942,0.606,0.423,-4.551,0.0533,123.802,0.543,43
131,Who Made Who,5,6vLemwLlTYDqQqbtXHRLRN,Ride On,spotify:track:6vLemwLlTYDqQqbtXHRLRN,349920,0.393,0.736,0.425,0.00257,0.091,-8.215,0.0483,106.331,0.309,41
132,Who Made Who,6,2P884dqfjksDMSzUZksfrS,Hells Bells,spotify:track:2P884dqfjksDMSzUZksfrS,312893,0.00562,0.383,0.887,0.00779,0.141,-4.734,0.0468,106.811,0.282,55
133,Who Made Who,7,0dY2imDqcunCyIWoBfrcxB,Shake Your Foundations,spotify:track:0dY2imDqcunCyIWoBfrcxB,231773,0.0385,0.543,0.926,0.0264,0.0788,-5.015,0.0544,122.659,0.494,40
134,Who Made Who,8,4LZyChIF8hKAAtGuPsvKCY,Chase the Ace,spotify:track:4LZyChIF8hKAAtGuPsvKCY,181360,3.61e-05,0.363,0.985,0.805,0.0414,-5.906,0.0795,144.513,0.273,42
135,Who Made Who,9,1Qf7H7d1TNP8VfPVDRLY0D,For Those About to Rock (We Salute You),spotify:track:1Qf7H7d1TNP8VfPVDRLY0D,353693,0.000341,0.371,0.909,0.508,0.0894,-5.704,0.101,132.864,0.48,55
136,Fly On the Wall,1,4KLh3zTfRqxBPDVzOOy2yE,Fly on the Wall,spotify:track:4KLh3zTfRqxBPDVzOOy2yE,224253,0.00118,0.322,0.92,0.48,0.289,-4.441,0.0574,127.012,0.347,41
137,Fly On the Wall,2,1L21YTLKh6eJaIjQWRgzo7,Shake Your Foundations,spotify:track:1L21YTLKh6eJaIjQWRgzo7,250586,0.00765,0.491,0.932,0.519,0.0562,-4.379,0.0631,122.224,0.458,44
138,Fly On the Wall,3,3u73GFE4Vr2Agnf6afmW0V,First Blood,spotify:track:3u73GFE4Vr2Agnf6afmW0V,226040,0.0209,0.462,0.948,0.144,0.195,-4.183,0.0675,116.874,0.297,53
139,Fly On the Wall,4,4s0zx7jUjCe2qOswnEmQur,Danger,spotify:track:4s0zx7jUjCe2qOswnEmQur,262480,0.207,0.583,0.84,0.365,0.088,-4.199,0.0385,79.236,0.566,38
140,Fly On the Wall,5,4tEO5sXXoEOtxEPZJ15pgO,Sink the Pink,spotify:track:4tEO5sXXoEOtxEPZJ15pgO,255146,0.00153,0.475,0.932,0.486,0.439,-5.31,0.0485,123.762,0.534,42
141,Fly On the Wall,6,4BE5gpzdVEVA9uROkm7GI9,Playing with Girls,spotify:track:4BE5gpzdVEVA9uROkm7GI9,224946,0.000525,0.429,0.962,0.022,0.0983,-4.052,0.0579,99.523,0.312,35
142,Fly On the Wall,7,1UBmFT0L9ilDySXuuMBfK5,Stand Up,spotify:track:1UBmFT0L9ilDySXuuMBfK5,233320,0.0118,0.443,0.878,0.812,0.331,-4.405,0.0414,91.449,0.395,35
