,album,track_number,id,name,uri,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,preview_url
73,Mothership,3,1RIsAtnYOlo8zGMycNFioq,Dazed and Confused - 2007 Remaster,spotify:track:1RIsAtnYOlo8zGMycNFioq,388453,0.0919,0.262,0.539,0.00803,0.0889,-10.264,0.0451,87.197,0.436,51,https://p.scdn.co/mp3-preview/1474b2a854c58466b4b675643014cf8d99d4db09?cid=ba0aefea59a44616bc6703a7294d312d
74,Mothership,4,0ducHx1R45CnEloZ6tUVuC,Babe I'm Gonna Leave You - 2007 Remaster,spotify:track:0ducHx1R45CnEloZ6tUVuC,402920,0.365,0.408,0.465,6.01e-05,0.215,-11.772,0.0338,135.668,0.151,50,https://p.scdn.co/mp3-preview/e1139ad811e43385280dbcf1ea63b35792a3150d?cid=ba0aefea59a44616bc6703a7294d312d
75,Mothership,5,1uBMgVAUYLnzVL5uQT88FP,Whole Lotta Love - 2007 Remaster,spotify:track:1uBMgVAUYLnzVL5uQT88FP,329760,0.0627,0.444,0.892,0.0354,0.417,-11.367,0.424,88.063,0.394,49,https://p.scdn.co/mp3-preview/fb69a8c36d7bf64de2f3e7ce47600f185a19428c?cid=ba0aefea59a44616bc6703a7294d312d
76,Mothership,6,3Qjm0halGOZZGIS1tNaXlI,Ramble On - 2007 Remaster,spotify:track:3Qjm0halGOZZGIS1tNaXlI,268880,0.179,0.451,0.555,0.00327,0.077,-13.15,0.0344,98.683,0.834,50,https://p.scdn.co/mp3-preview/6808b024381316f9182ec3173bce3527224a726d?cid=ba0aefea59a44616bc6703a7294d312d
77,Mothership,7,3I7a9joX0lJnK9XzE38GnD,Heartbreaker - 2007 Remaster,spotify:track:3I7a9joX0lJnK9XzE38GnD,255506,0.0701,0.397,0.723,0.0703,0.142,-9.197,0.0884,96.894,0.543,50,https://p.scdn.co/mp3-preview/ee582e354f7bcd2a0a7f2f688dccfbf1b69307c6?cid=ba0aefea59a44616bc6703a7294d312d
78,Mothership,8,2uuMXKKmdXrY2XxsqTsGp0,Immigrant Song - 2007 Remaster,spotify:track:2uuMXKKmdXrY2XxsqTsGp0,146746,0.0119,0.567,0.931,0.159,0.342,-10.361,0.0544,112.948,0.623,53,https://p.scdn.co/mp3-preview/f918a8bd398dc578cc8413d3bfbef65726c69ee2?cid=ba0aefea59a44616bc6703a7294d312d
79,Mothership,9,3Wunwn44wcWRNB4zb03AvA,Since I've Been Loving You - 2007 Remaster,spotify:track:3Wunwn44wcWRNB4zb03AvA,444800,0.00216,0.388,0.356,0.0762,0.139,-11.187,0.0348,118.199,0.338,50,https://p.scdn.co/mp3-preview/dbc209c99a3d081cca120605fe1ae126deac8ae7?cid=ba0aefea59a44616bc6703a7294d312d
80,Mothership,10,7HQrFPtLEpgTJaEVujH8OO,Rock and Roll - 2007 Remaster,spotify:track:7HQrFPtLEpgTJaEVujH8OO,220880,0.00091,0.317,0.879,0.00142,0.0972,-7.533,0.0406,169.534,0.849,50,https://p.scdn.co/mp3-preview/9f910a9623617ea0b24e45c9b78f43e6f5087348?cid=ba0aefea59a44616bc6703a7294d312d
81,Mothership,11,3nsUVlntPIksDvhHdZZhiu,Black Dog - 2007 Remaster,spotify:track:3nsUVlntPIksDvhHdZZhiu,295506,0.4,0.407,0.866,0.0409,0.27,-8.048,0.0996,80.813,0.723,50,https://p.scdn.co/mp3-preview/f99e011fd3d32b940b537a6d955bcd688ada9480?cid=ba0aefea59a44616bc6703a7294d312d
82,Mothership,12,3BGwxsmbbOe2jmZfh5CUAO,When the Levee Breaks - 2007 Remaster,spotify:track:3BGwxsmbbOe2jmZfh5CUAO,430320,0.0021,0.266,0.759,0.579,0.0561,-8.224,0.0328,143.929,0.813,50,https://p.scdn.co/mp3-preview/4318ddd7e52f17921cfafe596d14f149d5842e08?cid=ba0aefea59a44616bc6703a7294d312d
